id	uuid	filename	href	default_img	product_id	created_at	updated_at
61	f431962f-2e52-11eb-bc79-275aa1ef5ea7	fly-universal-mobile-holder-crystal-edition-for-car-windshield-original-imadrryqtwhynruz.jpeg	http://img6a.flixcart.com/image/car-cradle/z/4/2/fly-universal-mobile-holder-crystal-edition-for-car-windshield-original-imadrryqtwhynruz.jpeg	f	17	2020-11-24 12:45:38.3654+00	NULL
62	f4319630-2e52-11eb-bc79-275aa1ef5ea7	obs-360-rotating-supper-vaccum-suction-car-mount-holder-stand-original-imaea45ubuxyhkdz.jpeg	http://img6a.flixcart.com/image/car-cradle/mount/3/r/n/obs-360-rotating-supper-vaccum-suction-car-mount-holder-stand-original-imaea45ubuxyhkdz.jpeg	t	18	2020-11-24 12:45:38.3654+00	NULL
63	f4319631-2e52-11eb-bc79-275aa1ef5ea7	obs-360-rotating-supper-vaccum-suction-car-mount-holder-stand-original-imaea45ut2sm3ayf.jpeg	http://img6a.flixcart.com/image/car-cradle/mount/3/r/n/obs-360-rotating-supper-vaccum-suction-car-mount-holder-stand-original-imaea45ut2sm3ayf.jpeg	f	18	2020-11-24 12:45:38.3654+00	NULL
64	f4319632-2e52-11eb-bc79-275aa1ef5ea7	obs-360-rotating-supper-vaccum-suction-car-mount-holder-stand-original-imaea45u3vbgddbv.jpeg	http://img6a.flixcart.com/image/car-cradle/mount/3/r/n/obs-360-rotating-supper-vaccum-suction-car-mount-holder-stand-original-imaea45u3vbgddbv.jpeg	f	18	2020-11-24 12:45:38.3654+00	NULL
65	f4319633-2e52-11eb-bc79-275aa1ef5ea7	shopaholic-dual-car-mount-jhd-20hd12-1100x1100-imae8dvdgdxhghrz.jpeg	http://img6a.flixcart.com/image/car-cradle/n/y/j/shopaholic-dual-car-mount-jhd-20hd12-1100x1100-imae8dvdgdxhghrz.jpeg	t	19	2020-11-24 12:45:38.3654+00	NULL
66	f4319634-2e52-11eb-bc79-275aa1ef5ea7	shopaholic-dual-car-mount-jhd-20hd12-original-imae8dvdgdxhghrz.jpeg	http://img5a.flixcart.com/image/car-cradle/n/y/j/shopaholic-dual-car-mount-jhd-20hd12-original-imae8dvdgdxhghrz.jpeg	f	19	2020-11-24 12:45:38.3654+00	NULL
67	f4319635-2e52-11eb-bc79-275aa1ef5ea7	cezzar-fashion-mobile-holder-for-lenovo-rocstar-a319-original-imae8qdkzfdthz9e.jpeg	http://img5a.flixcart.com/image/car-cradle/b/j/2/cezzar-fashion-mobile-holder-for-lenovo-rocstar-a319-original-imae8qdkzfdthz9e.jpeg	t	20	2020-11-24 12:45:38.3654+00	NULL
68	f4319636-2e52-11eb-bc79-275aa1ef5ea7	cezzar-fashion-mobile-holder-for-lenovo-rocstar-a319-original-imae8qdkzfdthz9e.jpeg	http://img6a.flixcart.com/image/car-cradle/b/j/2/cezzar-fashion-mobile-holder-for-lenovo-rocstar-a319-original-imae8qdkzfdthz9e.jpeg	f	20	2020-11-24 12:45:38.3654+00	NULL
69	f4319637-2e52-11eb-bc79-275aa1ef5ea7	cezzar-fashion-mobile-holder-for-lenovo-rocstar-a319-original-imae8qdkwvvghyhh.jpeg	http://img5a.flixcart.com/image/car-cradle/b/j/2/cezzar-fashion-mobile-holder-for-lenovo-rocstar-a319-original-imae8qdkwvvghyhh.jpeg	f	20	2020-11-24 12:45:38.3654+00	NULL
70	f4319638-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-car-rear-view-mirror-phone-hanger-multi-purpose-stand-original-imae7ndmxnaruezf.jpeg	http://img6a.flixcart.com/image/car-cradle/6/h/y/smiledrive-car-rear-view-mirror-phone-hanger-multi-purpose-stand-original-imae7ndmxnaruezf.jpeg	t	21	2020-11-24 12:45:38.3654+00	NULL
71	f4319639-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-car-rear-view-mirror-phone-hanger-multi-purpose-stand-original-imae7ndmxnaruezf.jpeg	http://img5a.flixcart.com/image/car-cradle/6/h/y/smiledrive-car-rear-view-mirror-phone-hanger-multi-purpose-stand-original-imae7ndmxnaruezf.jpeg	f	21	2020-11-24 12:45:38.3654+00	NULL
72	f431963a-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-car-rear-view-mirror-phone-hanger-multi-purpose-stand-original-imae7ndmwmebruvd.jpeg	http://img5a.flixcart.com/image/car-cradle/6/h/y/smiledrive-car-rear-view-mirror-phone-hanger-multi-purpose-stand-original-imae7ndmwmebruvd.jpeg	f	21	2020-11-24 12:45:38.3654+00	NULL
73	f431963b-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-flexible-mobile-spiderpod-holder-use-it-in-car-many-1100x1100-imae6tc2fmcdmyhy.jpeg	http://img5a.flixcart.com/image/car-cradle/z/g/b/smiledrive-flexible-mobile-spiderpod-holder-use-it-in-car-many-1100x1100-imae6tc2fmcdmyhy.jpeg	t	22	2020-11-24 12:45:38.3654+00	NULL
